ID,ชื่อเรียกมติแบบง่ายๆ,เรียงตาม ID ไว้ลิงก์กับชีท [T] PeopleVote,ใส่ 0 เพื่อซ่อน,ชื่อวาระการลงมติ,ประเภทการประชุม,วันที่โหวต (ใส่ให้ถูก Format),ผ่าน/ไม่ผ่าน,คำอธิบายการประชุมลงมติ,ชื่อเอกสาร 1,ลิงค์ไปที่เอกสาร 1,ชื่อเอกสาร 2,ลิงค์ไปที่เอกสาร 2,meeting_id,Reference
22,อนุมัติ พ.ร.ก. ช่วยเหลือ SME จากโควิด-19,votelog.__22,1,พระราชกำหนดการให้ความช่วยเหลือทางการเงินแก่ผู้ประกอบวิสาหกิจที่ได้รับผลกระทบจากการระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 พ.ศ. 2563,ประชุมสภาผู้แทนราษฎร,2563-05-31,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200601105937A3.pdf,,,4198,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4198
23,อนุมัติ พ.ร.ก. เงินกู้โควิด-19,votelog.__23,1,พระราชกำหนดให้อำนาจกระทรวงการคลังกู้เงินเพื่อแก้ไขปัญหา เยียวยา และฟื้นฟูเศรษฐกิจและสังคม ที่ได้รับผลกระทบจากการระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 พ.ศ. 2563,ประชุมสภาผู้แทนราษฎร,2563-05-31,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200601105937A1.pdf,,,4198,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4198
24,ร่าง พ.ร.บ. โอนงบประมาณรายจ่าย (วาระ 1),votelog.__24,0,ร่างพระราชบัญญัติโอนงบประมาณรายจ่าย,ประชุมสภาผู้แทนราษฎร,2563-06-04,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201002103334A1.pdf,,,4199,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4199
25,ร่าง พ.ร.บ. โอนงบประมาณรายจ่าย (วาระ 3),votelog.__25,1,ร่างพระราชบัญญัติโอนงบประมาณรายจ่าย,ประชุมสภาผู้แทนราษฎร,2563-06-17,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200618094101A9.pdf,,,4202,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4202
26,ร่าง พ.ร.บ. งบประมาณ 2564 (วาระ 1),votelog.__26,1,ร่างพระราชบัญญัติงบประมาณรายจ่ายประจำปีงบประมาณ พ.ศ. 2564,ประชุมสภาผู้แทนราษฎร,2563-07-03,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200708135636A1.pdf,,,4208,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4208
27,ร่าง พ.ร.บ. กองทุนฟื้นฟูและพัฒนาเกษตรกร (วาระ 3),votelog.__27,1,ร่างพระราชบัญญัติกองทุนฟื้นฟูและพัฒนาเกษตรกร,ประชุมสภาผู้แทนราษฎร,2563-07-15,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201002112807A3.pdf,,,4212,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4212
28,ร่าง พ.ร.บ. ยุบเลิกบรรษัทตลาดรองสินเชื่อที่อยู่อาศัย (วาระ 3),votelog.__28,1,ร่างพระราชบัญญัติยุบเลิกบรรษัทตลาดรองสินเชื่อที่อยู่อาศัย,ประชุมสภาผู้แทนราษฎร,2563-07-15,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200715194114A7.pdf,,,4212,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4212
29,ร่าง พ.ร.บ. จัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง (วาระ 1),votelog.__29,1,ร่างพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง,ประชุมสภาผู้แทนราษฎร,2563-07-23,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200723191604A1.pdf,,,4214,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4214
30,ร่าง พ.ร.บ. แก้ไขวิธีพิจารณาความแพ่ง (ไกล่เกลี่ยข้อพิพาทก่อนฟ้องคดี) (วาระ 3),votelog.__30,1,ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายวิธีพิจารณาความแพ่ง,ประชุมร่วมกันของรัฐสภา,2563-07-24,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200726151513A3.pdf,,,4215,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4215
31,ร่าง พ.ร.บ. ชี้ขาดอำนาจหน้าที่ระหว่างศาล (วาระ 1),votelog.__31,1,ร่างพระราชบัญญัติว่าด้วยการวินิจฉัยชี้ขาดอำนาจหน้าที่ระหว่างศาล,ประชุมสภาผู้แทนราษฎร,2563-07-29,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200729184306A1.pdf,,,4216,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4216
32,ร่าง พ.ร.บ. เข้าชื่อเสนอกฎหมาย (วาระ 1),votelog.__32,1,ร่างพระราชบัญญัติการเข้าชื่อเสนอกฎหมาย,ประชุมร่วมกันของรัฐสภา,2563-08-04,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200804174945A3.pdf,,,4218,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4218
33,ร่าง พ.ร.บ. ปรับปรุงกระทรวง ทบวง กรม (วาระ 1),votelog.__33,1,ร่างพระราชบัญญัติปรับปรุงกระทรวง ทบวง กรม,ประชุมร่วมกันของรัฐสภา,2563-08-04,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200804174945A1.pdf,,,4218,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4218
34,ร่าง พ.ร.บ. วิธีพิจารณาคดียาเสพติด (วาระ 1),votelog.__34,1,ร่างพระราชบัญญัติวิธีพิจารณาคดียาเสพติด,ประชุมร่วมกันของรัฐสภา,2563-09-01,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200901181549A3.pdf,,,4228,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4228
35,ร่าง พ.ร.บ. ประมวลกฎหมายยาเสพติด (วาระ 1),votelog.__35,1,ร่างพระราชบัญญัติให้ใช้ประมวลกฎหมายยาเสพติด,ประชุมร่วมกันของรัฐสภา,2563-09-01,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200901181549A1.pdf,,,4228,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4228
36,ร่าง พ.ร.บ. งบประมาณ 2564 (วาระ 3),votelog.__36,1,ร่างพระราชบัญญัติงบประมาณรายจ่ายประจำปีงบประมาณ พ.ศ. 2564,ประชุมสภาผู้แทนราษฎร,2563-09-18,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20200919110046A3.pdf,,,4232,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4232
37,ร่าง พ.ร.บ. จัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง(วาระ 3),votelog.__37,1,ร่างพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง,ประชุมสภาผู้แทนราษฎร,2563-11-05,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201105184403A18.pdf,,,4237,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4237
38,ร่าง พ.ร.บ. ชี้ขาดอำนาจหน้าที่ระหว่างศาล (วาระ 3),votelog.__38,1,ร่างพระราชบัญญัติว่าด้วยการวินิจฉัยชี้ขาดอำนาจหน้าที่ระหว่างศาล,ประชุมสภาผู้แทนราษฎร,2563-11-05,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201105184403A29.pdf,,,4237,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4237
39,พิจารณารับหลักการ หรือไม่รับหลักการแก้ไขรัฐธรรมนูญจำนวน 7 ฉบับ (ฉบับที่ 1),votelog.__39,1,"ร่างรัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม พุทธศักราช .... (แก้ไขเพิ่มเติมมาตรา ๒๕๖ และเพิ่มหมวด ๑๕/๑) ซึ่ง นายสมพงษ์
อมรวิวัฒน์ กับคณะ เป็นผู้เสนอ",ประชุมร่วมกันของรัฐสภา,2563-11-18,ผ่าน,,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201202092442A1.pdf,-,-,4242,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4242
40,พิจารณารับหลักการ หรือไม่รับหลักการแก้ไขรัฐธรรมนูญจำนวน 7 ฉบับ (ฉบับที่ 2),votelog.__40,1,"ร่างรัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม พุทธศักราช .... (แก้ไขเพิ่มเติมมาตรา ๒๕๖ และเพิ่มหมวด ๑๕/๑) ซึ่ง นายวิรัช
รัตนเศรษฐ กับคณะ เป็นผู้เสนอ",ประชุมร่วมกันของรัฐสภา,2563-11-18,ผ่าน,,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201202092442A1.pdf,-,-,4242,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4242
41,พิจารณารับหลักการ หรือไม่รับหลักการแก้ไขรัฐธรรมนูญจำนวน 7 ฉบับ (ฉบับที่ 3),votelog.__41,1,"ร่างรัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม พุทธศักราช .... (ยกเลิกมาตรา ๒๗๐ และมาตรา ๒๗๑) ซึ่ง นายสมพงษ์ อมรวิวัฒน์
กับคณะ เป็นผู้เสนอ ",ประชุมร่วมกันของรัฐสภา,2563-11-18,ไม่ผ่าน,,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201202092442A1.pdf,-,-,4242,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4242
42,พิจารณารับหลักการ หรือไม่รับหลักการแก้ไขรัฐธรรมนูญจำนวน 7 ฉบับ (ฉบับที่ 4),votelog.__42,1,"ร่างรัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม พุทธศักราช .... (แก้ไขเพิ่มเติมมาตรา ๑๕๙ และยกเลิกมาตรา ๒๗๒) ซึ่ง นายสมพงษ์
อมรวิวัฒน์ กับคณะ เป็นผู้เสนอ",ประชุมร่วมกันของรัฐสภา,2563-11-18,ไม่ผ่าน,,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201202092442A1.pdf,-,-,4242,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4242
43,พิจารณารับหลักการ หรือไม่รับหลักการแก้ไขรัฐธรรมนูญจำนวน 7 ฉบับ (ฉบับที่ 5),votelog.__43,1,"ร่างรัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม พุทธศักราช .... (ยกเลิกมาตรา ๒๗๙) ซึ่ง นายสมพงษ์ อมรวิวัฒน์ กับคณะ
เป็นผู้เสนอ",ประชุมร่วมกันของรัฐสภา,2563-11-18,ไม่ผ่าน,,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201202092442A1.pdf,-,-,4242,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4242
44,พิจารณารับหลักการ หรือไม่รับหลักการแก้ไขรัฐธรรมนูญจำนวน 7 ฉบับ (ฉบับที่ 6),votelog.__44,1,"ร่างรัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม พุทธศักราช .... (แก้ไขเพิ่มเติมมาตรา ๙๑ มาตรา ๙๒ และมาตรา ๙๔ และยกเลิก
มาตรา ๙๓ มาตรา ๑๐๑ (๔) และมาตรา ๑๐๕ วรรคสาม) ซึ่ง นายสมพงษ์ อมรวิวัฒน์ กับคณะ เป็นผู้เสนอ",ประชุมร่วมกันของรัฐสภา,2563-11-18,ไม่ผ่าน,,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201202092442A1.pdf,-,-,4242,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4242
45,พิจารณารับหลักการ หรือไม่รับหลักการแก้ไขรัฐธรรมนูญจำนวน 7 ฉบับ (ฉบับที่ 7),votelog.__45,1,"ร่างรัฐธรรมนูญแห่งราชอาณาจักรไทย แก้ไขเพิ่มเติม พุทธศักราช .... (ยกเลิกมาตรา ๖๕ มาตรา ๘๘ มาตรา ๒๐๓ มาตรา ๒๑๗
มาตรา ๒๗๐ มาตรา ๒๗๒ มาตรา ๒๗๕ และมาตรา ๒๗๙ ยกเลิกหมวด ๑๖ แก้ไขเพิ่มเติมมาตรา ๑๔๒ มาตรา ๑๕๙ วรรคแรก มาตรา ๑๖๒ วรรคแรก
มาตรา ๒๕๒ วรรคสอง มาตรา ๒๕๖ และมาตรา ๒๖๙ และเพิ่มหมวด ๑๗) ซึ่ง นายจอน อึ๊งภากรณ์ กับประชาชนผู้มีสิทธิเลือกตั้ง จ านวน ๙๘,๐๔๑ คน เป็นผู้เสนอ",ประชุมร่วมกันของรัฐสภา,2563-11-18,ไม่ผ่าน,,ใบประมวลผลการลงมติ,http://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201202092442A1.pdf,-,-,4242,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4242
46,ร่าง พ.ร.บ. วิทยุโทรทัศน์ (วาระ 3),votelog.__46,1,ร่างพระราชบัญญัติองค์กรจัดสรรคลื่นความถี่และกำกับการประกอบกิจการวิทยุกระจายเสียง วิทยุโทรทัศน์ และกิจการโทรคมนาคม,ประชุมสภาผู้แทนราษฎร,2563-11-25,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201125194033A7.pdf,,,4243,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4243
47,ร่าง พ.ร.บ. หอการค้า (วาระ 1),votelog.__47,1,ร่างพระราชบัญญัติหอการค้า,ประชุมสภาผู้แทนราษฎร,2563-11-26,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201126163758A1.pdf,,,4244,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4244
48,ร่าง พ.ร.บ. ปรับปรุงกระทรวง ทบวง กรม (วาระ 3),votelog.__48,1,ร่างพระราชบัญญัติปรับปรุงกระทรวง ทบวง กรม,ประชุมร่วมกันของรัฐสภา,2563-12-01,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201201143006A7.pdf,,,4245,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4245
49,ร่าง พ.ร.บ. ว่าด้วยการออกเสียงประชามติ (วาระ 1),votelog.__49,1,ร่างพระราชบัญญัติว่าด้วยการออกเสียงประชามติ,ประชุมร่วมกันของรัฐสภา,2563-12-01,ผ่าน,ร่างพ.ร.บ.ประชามติฯ เสนอโดยครม. ตามร่างเดิมกำหนดไว้ว่า กรณีที่สามารถจัดทำประชามติได้มีสองกรณี คือ หนึ่ง การออกเสียงประชามติเกี่ยวกับการแก้ไขเพิ่มเติมรัฐธรรมนูญ ตามมาตรา 10 และสอง การออกเสียงประชามติในเรื่องใดที่คณะรัฐมนตรีมีมติให้ทำประชามติ ตามมาตรา 11 อย่างไรก็ดี การที่รัฐสภามีมติแก้ไขมาตรา 9 ตามข้อเสนอของฝ่ายค้าน ทำให้ช่องทางการทำประชามติมีเพิ่มขึ้น และประชาชนมีโอกาสมีส่วนร่วมได้มากขึ้น โดยเพิ่มช่องทางที่ให้รัฐสภา และให้ประชาชนเข้าชื่อกันเสนอให้จัดทำประชามติได้ ,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201201181516A1.pdf,,,4245,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4245
50,ร่าง พ.ร.บ. ยาเสพติดให้โทษ (วาระ 1),votelog.__50,1,ร่างพระราชบัญญัติยาเสพติดให้โทษ,ประชุมสภาผู้แทนราษฎร,2563-12-16,ผ่าน,หลักการของร่างพระราชบัญญัติยาเสพติดให้โทษ (ฉบับที่ ..) พ.ศ. .... เป็นการยกเลิกพืชกระท่อม ออกจากการเป็นยาเสพติดให้โทษประเภท 5 และยกเลิกบทกำหนดโทษ อัตราโทษในความผิดเกี่ยวกับ พืชกระท่อม ซึ่งมีประเด็นว่าหลังจากที่ร่างพระราชบัญญัติประกาศใช้บังคับแล้ว จะมีแนวปฏิบัติกับบุคคล ที่อยู่ระหว่างถูกดำเนินคดีในความผิดเกี่ยวกับพืชกระท่อมอย่างไร รวมถึงมาตรการต่าง ๆ ทั้งการป้องกัน ไม่ให้เด็กและเยาวชนนำกระท่อมมาใช้บริโภค การควบคุมการใช้ให้มีปริมาณเหมาะสมไม่เกิดอันตรายต่อ สุขภาพ และการส่งเสริมพืชกระท่อมในลักษณะเป็นพืชเศรษฐกิจสร้างรายได้ ,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201216172325A3.pdf,,,4248,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4248
51,ร่าง พ.ร.บ. แก้ไขเพิ่มเติมประมวลกฎหมายอาญา (วาระ 1),votelog.__51,0,ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา,ประชุมสภาผู้แทนราษฎร,2563-12-23,ผ่าน,หลักการและเหตุผลของ ร่างพ.ร.บ.แก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ... ศาลรัฐธรรมนูญได้มีคำวินิจฉัยที่ 4/2563 ว่าบทบัญญัติความผิดฐานหญิงทำให้ตนเองแท้งลูกหรือยอมให้ผู้อื่นทำแท้งลูก ตามมาตรา 301 แห่งประมวลกฎหมายอาญา ขัดหรือแย้งต่อมาตรา 28 ตามรัฐธรรมนูญ ทำให้เห็นว่าบทบัญญัติตามมาตรา 301 แห่งประมวลกฎหมายอาญา กระทบต่อสิทธิและเสรีภาพในชีวิตและร่างกายของหญิงเกินความจำเป็น ไม่เป็นไปตามหลักแห่งความได้สัดส่วน และเป็นการจำกัดสิทธิและเสรีภาพตามมาตรา 28 ตามรัฐธรรมนูญ ศาลรัฐธรรมนูญยังได้เสนอแนะว่ากฎหมายที่เกี่ยวข้องกับเรื่องการทำแท้งควรได้รับการปรับปรุงแก้ไขเพื่อให้สอดคล้องกับสภาพการณ์ปัจจุบัน ได้แก่ ความผิดฐานทำให้แท้งลูก โดยกำหนดอายุครรภ์สำหรับฐานความผิด รวมทั้งเพิ่มเหตุยกเว้นความผิดฐานทำให้แท้งลูก,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201223184059A9.pdf,,,4250,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4250
52,ร่าง พ.ร.บ. จัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง (วาระ 1),votelog.__52,0,ร่างพระราชบัญญัติจัดตั้งศาลปกครองและวิธีพิจารณาคดีปกครอง,ประชุมสภาผู้แทนราษฎร,2563-12-23,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201223151755A1.pdf,,,4250,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4250
53,ร่าง พ.ร.บ. อ้อยและน้ำตาลทราย (วาระ 1),votelog.__53,0,ร่างพระราชบัญญัติอ้อยและน้ำตาลทราย,ประชุมสภาผู้แทนราษฎร,2563-12-23,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20201223151755A1.pdf,,,4250,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4250
54,ร่าง พ.ร.บ. แก้ไขเพิ่มเติมประมวลกฎหมายอาญา (วาระ 3),votelog.__54,0,ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา,ประชุมสภาผู้แทนราษฎร,2564-01-20,ผ่าน,หลักการและเหตุผลของ ร่างพ.ร.บ.แก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ... ศาลรัฐธรรมนูญได้มีคำวินิจฉัยที่ 4/2563 ว่าบทบัญญัติความผิดฐานหญิงทำให้ตนเองแท้งลูกหรือยอมให้ผู้อื่นทำแท้งลูก ตามมาตรา 301 แห่งประมวลกฎหมายอาญา ขัดหรือแย้งต่อมาตรา 28 ตามรัฐธรรมนูญ ทำให้เห็นว่าบทบัญญัติตามมาตรา 301 แห่งประมวลกฎหมายอาญา กระทบต่อสิทธิและเสรีภาพในชีวิตและร่างกายของหญิงเกินความจำเป็น ไม่เป็นไปตามหลักแห่งความได้สัดส่วน และเป็นการจำกัดสิทธิและเสรีภาพตามมาตรา 28 ตามรัฐธรรมนูญ ศาลรัฐธรรมนูญยังได้เสนอแนะว่ากฎหมายที่เกี่ยวข้องกับเรื่องการทำแท้งควรได้รับการปรับปรุงแก้ไขเพื่อให้สอดคล้องกับสภาพการณ์ปัจจุบัน ได้แก่ ความผิดฐานทำให้แท้งลูก โดยกำหนดอายุครรภ์สำหรับฐานความผิด รวมทั้งเพิ่มเหตุยกเว้นความผิดฐานทำให้แท้งลูก,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20210120183829A3.pdf,,,4266,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4266
55,ร่าง พ.ร.บ. แก้ไขเพิ่มเติมประมวลรัษฎากร (วาระ 1),votelog.__55,0,ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลรัษฎากร,ประชุมสภาผู้แทนราษฎร,2564-01-20,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20210120183829A7.pdf,,,4266,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4266
56,ร่าง พ.ร.บ. วัตถุอันตราย (วาระ 1),votelog.__56,0,ร่างพระราชบัญญัติวัตถุอันตราย,ประชุมสภาผู้แทนราษฎร,2564-01-20,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20210120183829A9.pdf,,,4266,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4266
57,ร่าง พ.ร.บ.วิชาชีพการสัตวบาล (วาระ 1),votelog.__57,0,พระราชบัญญัติวิชาชีพการสัตวบาล,ประชุมสภาผู้แทนราษฎร,2564-01-27,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20210127172751A1.pdf,,,4269,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4269
58,ร่าง พ.ร.บ. ควบคุมยุทธภัณฑ์ (วาระ 1),votelog.__58,0,ร่างพระราชบัญญัติควบคุมยุทธภัณฑ์,ประชุมสภาผู้แทนราษฎร,2564-01-27,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20210127153231A1.pdf,,,4269,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4269
59,ร่าง พ.ร.บ. ยาเสพติดให้โทษ (วาระ 3),votelog.__59,0,ร่างพระราชบัญญัติยาเสพติดให้โทษ,ประชุมสภาผู้แทนราษฎร,2564-01-27,ผ่าน,หลักการของร่างพระราชบัญญัติยาเสพติดให้โทษ (ฉบับที่ ..) พ.ศ. .... เป็นการยกเลิกพืชกระท่อม ออกจากการเป็นยาเสพติดให้โทษประเภท 5 และยกเลิกบทกำหนดโทษ อัตราโทษในความผิดเกี่ยวกับ พืชกระท่อม ซึ่งมีประเด็นว่าหลังจากที่ร่างพระราชบัญญัติประกาศใช้บังคับแล้ว จะมีแนวปฏิบัติกับบุคคล ที่อยู่ระหว่างถูกดำเนินคดีในความผิดเกี่ยวกับพืชกระท่อมอย่างไร รวมถึงมาตรการต่าง ๆ ทั้งการป้องกัน ไม่ให้เด็กและเยาวชนนำกระท่อมมาใช้บริโภค การควบคุมการใช้ให้มีปริมาณเหมาะสมไม่เกิดอันตรายต่อ สุขภาพ และการส่งเสริมพืชกระท่อมในลักษณะเป็นพืชเศรษฐกิจสร้างรายได้ ,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20210127140825A3.pdf,,,4269,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4269
60,ร่าง พ.ร.บ.ลิขสิทธิ์ (วาระ 1),votelog.__60,0,ร่างพระราชบัญญัติลิขสิทธิ์,ประชุมสภาผู้แทนราษฎร,2564-01-27,ผ่าน,,ใบประมวลผลการลงมติ,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/download/vote_detail/20210127141251A1.pdf,,,4269,https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main_warehouse.php?m_id=4269
